region,date_bin_start,year,catch_taxon,catch_name_en,landing_weight_kg,catch_kg
Covalima,01/10/18,2018,SDX,Mackerel scad,1.770712013,5748.81583
Covalima,01/10/18,2018,SNA,Snapper/seaperch,0.428242726,1390.338204
Covalima,01/10/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.074586131,242.1522671
Covalima,01/11/18,2018,BEN,Long tom,9.11E-04,2.79285328
Covalima,01/11/18,2018,CGX,Jacks/Trevally/Other Scad,0.09944095,304.8672952
Covalima,01/11/18,2018,CJX,Fusilier,2.84E-04,0.870978202
Covalima,01/11/18,2018,CLP,Sardines/pilchards,0.388513821,1191.110479
Covalima,01/11/18,2018,FLY,Flying fish,0.029671346,90.96677926
Covalima,01/11/18,2018,GZP,Garfish,0.019206626,58.88391154
Covalima,01/11/18,2018,LWX,Jobfish,0.026530409,81.33725529
Covalima,01/11/18,2018,MOO,Moonfish,0.003484256,10.68207397
Covalima,01/11/18,2018,MZZ,Other,0.327755422,1004.836626
Covalima,01/11/18,2018,RAX,Short bodied mackerel,0.616240137,1889.276635
Covalima,01/11/18,2018,SDX,Mackerel scad,2.04989751,6284.601141
Covalima,01/11/18,2018,SNA,Snapper/seaperch,0.57243635,1754.982441
Covalima,01/11/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.080715277,247.4578935
Covalima,01/12/18,2018,BEN,Long tom,9.90E-04,4.45881388
Covalima,01/12/18,2018,CGX,Jacks/Trevally/Other Scad,0.142208362,640.5825661
Covalima,01/12/18,2018,CJX,Fusilier,2.50E-04,1.127601314
Covalima,01/12/18,2018,CLP,Sardines/pilchards,0.505009397,2274.832577
Covalima,01/12/18,2018,FLY,Flying fish,0.018715613,84.30513717
Covalima,01/12/18,2018,GZP,Garfish,0.026500592,119.3728498
Covalima,01/12/18,2018,LWX,Jobfish,0.035998763,162.1576941
Covalima,01/12/18,2018,MOO,Moonfish,0.005083871,22.90047729
Covalima,01/12/18,2018,MZZ,Other,0.441427504,1988.425704
Covalima,01/12/18,2018,RAX,Short bodied mackerel,0.522700216,2354.52149
Covalima,01/12/18,2018,SDX,Mackerel scad,1.376284633,6199.522496
Covalima,01/12/18,2018,SNA,Snapper/seaperch,0.449276059,2023.779796
Covalima,01/12/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.081539297,367.2966289
Covalima,01/01/19,2019,BEN,Long tom,0.001470878,6.354752458
Covalima,01/01/19,2019,CGX,Jacks/Trevally/Other Scad,0.096610801,417.3955406
Covalima,01/01/19,2019,CJX,Fusilier,4.63E-04,1.999665014
Covalima,01/01/19,2019,CLP,Sardines/pilchards,1.213007336,5240.65472
Covalima,01/01/19,2019,FLY,Flying fish,0.110835094,478.8499149
Covalima,01/01/19,2019,GZP,Garfish,0.014838854,64.10951323
Covalima,01/01/19,2019,LWX,Jobfish,0.028711521,124.0447285
Covalima,01/01/19,2019,MOO,Moonfish,0.00272893,11.79001921
Covalima,01/01/19,2019,MZZ,Other,0.347441248,1501.078818
Covalima,01/01/19,2019,RAX,Short bodied mackerel,0.347013519,1499.230863
Covalima,01/01/19,2019,SDX,Mackerel scad,1.366306998,5902.967779
Covalima,01/01/19,2019,SNA,Snapper/seaperch,0.339335422,1466.058556
Covalima,01/01/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.07963506,344.0538595
Covalima,01/02/19,2019,BEN,Long tom,0.001353282,5.014764869
Covalima,01/02/19,2019,CGX,Jacks/Trevally/Other Scad,0.192153264,712.0493681
Covalima,01/02/19,2019,CJX,Fusilier,2.36E-04,0.874117533
Covalima,01/02/19,2019,CLP,Sardines/pilchards,1.129200096,4184.4005
Covalima,01/02/19,2019,FLY,Flying fish,0.096518925,357.6636601
Covalima,01/02/19,2019,GZP,Garfish,0.014787933,54.79864592
Covalima,01/02/19,2019,LWX,Jobfish,0.035936955,133.1691466
Covalima,01/02/19,2019,MOO,Moonfish,0.002902911,10.75712007
Covalima,01/02/19,2019,MZZ,Other,0.320404836,1187.302553
Covalima,01/02/19,2019,RAX,Short bodied mackerel,0.401720874,1488.6299
Covalima,01/02/19,2019,SDX,Mackerel scad,1.218954827,4516.998544
Covalima,01/02/19,2019,SNA,Snapper/seaperch,0.301196699,1116.124255
Covalima,01/02/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.120648158,447.0777256
Covalima,01/03/19,2019,BEN,Long tom,7.24E-04,2.67247197
Covalima,01/03/19,2019,CGX,Jacks/Trevally/Other Scad,0.112419666,415.2042226
Covalima,01/03/19,2019,CJX,Fusilier,1.17E-04,0.431929659
Covalima,01/03/19,2019,CLP,Sardines/pilchards,0.966965779,3571.334883
Covalima,01/03/19,2019,FLY,Flying fish,0.097638062,360.61071
Covalima,01/03/19,2019,GZP,Garfish,0.007435478,27.4617604
Covalima,01/03/19,2019,LWX,Jobfish,0.028671128,105.8922688
Covalima,01/03/19,2019,MOO,Moonfish,0.004506486,16.64399104
Covalima,01/03/19,2019,MZZ,Other,0.34746196,1283.295693
Covalima,01/03/19,2019,RAX,Short bodied mackerel,0.511524678,1889.235345
Covalima,01/03/19,2019,SDX,Mackerel scad,1.858989906,6865.88465
Covalima,01/03/19,2019,SNA,Snapper/seaperch,0.386402139,1427.115073
Covalima,01/03/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.101229588,373.8754432
Covalima,01/04/19,2019,BEN,Long tom,0.00119681,3.84974447
Covalima,01/04/19,2019,CGX,Jacks/Trevally/Other Scad,0.138105685,444.2407681
Covalima,01/04/19,2019,CJX,Fusilier,2.59E-04,0.832884631
Covalima,01/04/19,2019,CLP,Sardines/pilchards,0.700057214,2251.854832
Covalima,01/04/19,2019,FLY,Flying fish,0.102645148,330.1758308
Covalima,01/04/19,2019,GZP,Garfish,0.013283617,42.72904669
Covalima,01/04/19,2019,LWX,Jobfish,0.027707603,89.12628511
Covalima,01/04/19,2019,MOO,Moonfish,0.003374844,10.85576736
Covalima,01/04/19,2019,MZZ,Other,0.311319383,1001.412519
Covalima,01/04/19,2019,RAX,Short bodied mackerel,0.335970756,1080.707913
Covalima,01/04/19,2019,SDX,Mackerel scad,1.509460697,4855.440807
Covalima,01/04/19,2019,SNA,Snapper/seaperch,0.307306777,988.5052785
Covalima,01/04/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.092040226,296.063269
Covalima,01/05/19,2019,BEN,Long tom,0,0
Covalima,01/05/19,2019,CGX,Jacks/Trevally/Other Scad,0.013812377,31.72214927
Covalima,01/05/19,2019,CJX,Fusilier,0,0
Covalima,01/05/19,2019,CLP,Sardines/pilchards,0.107161144,246.1112805
Covalima,01/05/19,2019,FLY,Flying fish,0,0
Covalima,01/05/19,2019,GZP,Garfish,0,0
Covalima,01/05/19,2019,LWX,Jobfish,0,0
Covalima,01/05/19,2019,MOO,Moonfish,0,0
Covalima,01/05/19,2019,MZZ,Other,0.096388258,221.3697689
Covalima,01/05/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/05/19,2019,SDX,Mackerel scad,2.629813951,6039.753377
Covalima,01/05/19,2019,SNA,Snapper/seaperch,0.039399869,90.48757715
Covalima,01/05/19,2019,TUN,Tuna/Bonito/Other Mackerel,0,0
Covalima,01/06/19,2019,BEN,Long tom,0,0
Covalima,01/06/19,2019,CGX,Jacks/Trevally/Other Scad,0,0
Covalima,01/06/19,2019,CJX,Fusilier,0,0
Covalima,01/06/19,2019,CLP,Sardines/pilchards,0.491225681,1318.17436
Covalima,01/06/19,2019,FLY,Flying fish,0.002645862,7.100010982
Covalima,01/06/19,2019,GZP,Garfish,0,0
Covalima,01/06/19,2019,LWX,Jobfish,0.035904878,96.34856408
Covalima,01/06/19,2019,MOO,Moonfish,0,0
Covalima,01/06/19,2019,MZZ,Other,0.429982833,1153.83289
Covalima,01/06/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/06/19,2019,SDX,Mackerel scad,2.605220702,6990.951958
Covalima,01/06/19,2019,SNA,Snapper/seaperch,0,0
Covalima,01/06/19,2019,TUN,Tuna/Bonito/Other Mackerel,0,0
Covalima,01/07/19,2019,BEN,Long tom,0,0
Covalima,01/07/19,2019,CGX,Jacks/Trevally/Other Scad,0.063839443,191.1048789
Covalima,01/07/19,2019,CJX,Fusilier,0,0
Covalima,01/07/19,2019,CLP,Sardines/pilchards,0.027128834,81.21080604
Covalima,01/07/19,2019,FLY,Flying fish,0,0
Covalima,01/07/19,2019,GZP,Garfish,0.003628068,10.86070599
Covalima,01/07/19,2019,LWX,Jobfish,0.010311144,30.86665382
Covalima,01/07/19,2019,MOO,Moonfish,0,0
Covalima,01/07/19,2019,MZZ,Other,1.132082834,3388.916677
Covalima,01/07/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/07/19,2019,SDX,Mackerel scad,5.028280081,15052.27508
Covalima,01/07/19,2019,SNA,Snapper/seaperch,1.660974947,4972.167698
Covalima,01/07/19,2019,TUN,Tuna/Bonito/Other Mackerel,0,0
Covalima,01/08/19,2019,BEN,Long tom,0,0
Covalima,01/08/19,2019,CGX,Jacks/Trevally/Other Scad,0.038305853,85.03333963
Covalima,01/08/19,2019,CJX,Fusilier,0,0
Covalima,01/08/19,2019,CLP,Sardines/pilchards,0.090170117,200.1643527
Covalima,01/08/19,2019,FLY,Flying fish,0,0
Covalima,01/08/19,2019,GZP,Garfish,0.018063145,40.09751633
Covalima,01/08/19,2019,LWX,Jobfish,0.163176209,362.2271028
Covalima,01/08/19,2019,MOO,Moonfish,0.004450632,9.879745427
Covalima,01/08/19,2019,MZZ,Other,0.21510027,477.4908554
Covalima,01/08/19,2019,RAX,Short bodied mackerel,0,0
Covalima,01/08/19,2019,SDX,Mackerel scad,2.005024501,4450.858488
Covalima,01/08/19,2019,SNA,Snapper/seaperch,0.026192088,58.14256987
Covalima,01/08/19,2019,TUN,Tuna/Bonito/Other Mackerel,0.026256912,58.28646917
Covalima,01/09/19,2019,BEN,Long tom,0,0
Covalima,01/09/19,2019,CGX,Jacks/Trevally/Other Scad,0.088321547,239.5100627
Covalima,01/09/19,2019,CJX,Fusilier,0,0
Covalima,01/09/19,2019,CLP,Sardines/pilchards,0.126418374,342.8209028
Covalima,01/09/19,2019,FLY,Flying fish,0,0
Covalima,01/09/19,2019,GZP,Garfish,0.02579957,69.96318228
Covalima,01/09/19,2019,LWX,Jobfish,0.164803388,446.9132497
